band_prefix,band_suffix,band_n,sex,territory,year,month,day,presence_absence
,13752,,male,1,2022,4,6,1
,13752,,male,1,2022,4,14,1
,13752,,male,1,2022,4,22,1
,13752,,male,1,2022,4,27,0
,13752,,male,1,2022,5,14,1
,13752,,male,1,2022,5,26,1
,13752,,male,1,2022,6,15,1
,13752,,male,1,2022,6,25,1
,13752,,male,1,2022,6,27,1
2661,76849,266176849,male,5,2022,4,27,1
2661,76849,266176849,male,5,2022,5,16,0
2661,76849,266176849,male,5,2022,5,17,1
2661,76849,266176849,male,5,2022,5,26,1
2661,76849,266176849,male,5,2022,5,27,NA
2661,76849,266176849,male,5,2022,6,4,1
2661,76979,266176979,male,5,2022,6,20,1
2661,76849,266176849,male,5,2022,6,20,0
2661,76979,266176979,male,9,2022,4,22,1
2661,76979,266176979,male,9,2022,4,27,1
2661,76979,266176979,male,9,2022,5,10,1
2661,76979,266176979,male,9,2022,5,16,1
2661,76979,266176979,male,9,2022,5,17,NA
2661,76979,266176979,male,9,2022,5,26,1
2661,76979,266176979,male,9,2022,6,5,1
2661,76979,266176979,male,9,2022,6,15,1
2661,76979,266176979,male,9,2022,6,27,1
,13787,,male,14,2022,2,25,NA
,13787,,male,14,2022,4,6,1
,13787,,male,14,2022,5,10,1
,13787,,male,14,2022,5,11,NA
,13787,,male,14,2022,5,16,1
,13787,,male,14,2022,5,17,1
,13787,,male,14,2022,5,26,1
,13787,,male,14,2022,5,27,1
,13787,,male,14,2022,6,5,1
,13787,,male,14,2022,6,15,NA
,13787,,male,14,2022,6,26,1
,13787,,male,14,2022,6,30,1
,13787,,male,14,2022,7,6,1
2661,76991,266176991,male,16,2022,2,16,1
2541,91789,254191789,female,16,2022,2,16,0
2661,76991,266176991,male,16,2022,4,6,1
2541,91789,254191789,female,16,2022,4,6,1
2661,76991,266176991,male,16,2022,4,16,1
2541,91789,254191789,female,16,2022,4,16,0
2661,76991,266176991,male,16,2022,4,24,1
2541,91789,254191789,female,16,2022,4,24,1
2661,76991,266176991,male,16,2022,4,27,1
2541,91789,254191789,female,16,2022,4,27,1
2661,76991,266176991,male,16,2022,5,3,1
2541,91789,254191789,female,16,2022,5,3,1
2661,76991,266176991,male,16,2022,5,9,1
2541,91789,254191789,female,16,2022,5,9,1
2661,76991,266176991,male,16,2022,5,11,1
2541,91789,254191789,female,16,2022,5,11,1
2541,91789,254191789,female,16,2022,5,16,1
2661,76991,266176991,male,16,2022,5,16,0
2661,76991,266176991,male,16,2022,5,17,1
2541,91789,254191789,female,16,2022,5,17,0
2661,76991,266176991,male,16,2022,5,26,1
2541,91789,254191789,female,16,2022,5,26,0
2661,76991,266176991,male,16,2022,6,5,1
2541,91789,254191789,female,16,2022,6,5,0
2661,76991,266176991,male,16,2022,6,16,NA
2541,91789,254191789,female,16,2022,6,16,0
2661,76991,266176991,male,16,2022,6,20,1
2541,91789,254191789,female,16,2022,6,20,0
2541,91789,254191789,female,16,2022,6,26,NA
2661,76991,266176991,male,16,2022,6,26,1
2661,76991,266176991,male,16,2022,6,29,1
2541,91789,254191789,female,16,2022,6,29,0
2661,76991,266176991,male,16,2022,7,6,1
2541,91789,254191789,female,16,2022,7,6,0
2981,13708,298113708,male,20,2022,2,16,NA
2541,91789,254191789,female,20,2022,2,16,NA
2981,13708,298113708,male,20,2022,4,24,1
2541,91789,254191789,female,20,2022,4,24,0
2981,13708,298113708,male,20,2022,4,27,1
2541,91789,254191789,female,20,2022,4,27,0
2981,13708,298113708,male,20,2022,5,3,1
2541,91789,254191789,female,20,2022,5,3,0
2981,13708,298113708,male,20,2022,5,16,1
2541,91789,254191789,female,20,2022,5,16,0
2981,13708,298113708,male,20,2022,5,17,1
2541,91789,254191789,female,20,2022,5,17,0
2981,13708,298113708,male,20,2022,5,26,1
2541,91789,254191789,female,20,2022,5,26,1
2981,13708,298113708,male,20,2022,5,30,1
2541,91789,254191789,female,20,2022,5,30,0
2981,13708,298113708,male,20,2022,6,4,1
2541,91789,254191789,female,20,2022,6,4,0
2981,13708,298113708,male,20,2022,6,5,1
2541,91789,254191789,female,20,2022,6,5,0
2981,13708,298113708,male,20,2022,6,16,0
2541,91789,254191789,female,20,2022,6,16,0
2981,13708,298113708,male,20,2022,6,20,1
2541,91789,254191789,female,20,2022,6,20,1
2981,13708,298113708,male,20,2022,6,23,1
